PK_Enrollment,K_Enrollment,1_Enrollment,2_Enrollment,3_Enrollment,4_Enrollment,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,TOTAL_Enrollment,% First Language Not English,% English Language Learner,% Students With Disabilities,% High Needs,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Progress and Performance Index (PPI) - High Needs Students,Insufficient data_School,Level 1_School,Level 2_School,Level 3_School,Level 4_School,Level 5_School,Insufficient data_District,Level 1_District,Level 2_District,Level 3_District,Level 4_District,Level 5_District
0,0,0,0,92,99,106,131,0,0,0,0,0,0,0,428,1.6,1.2,20.1,22.2,3.7,0.2,3.3,2.6,91.4,0.0,0.2,2.3,50.9,49.1,204.0,16.3,429.0,4747304.0,75957.0,63.0,11734287.8,749.0,15666.61,12296367.8,758.0,16222.12,93.0,100.0,94.0,0,1,0,0,0,0,0,1,0,0,0,0
29,31,43,36,45,55,54,0,0,0,0,0,0,0,0,293,8.2,2.7,10.2,20.8,8.5,1.4,4.8,3.4,86.0,0.7,0.0,3.8,48.1,51.9,168.0,18.0,305.0,1574935.0,74289.0,21.0,3868379.57,297.7,12994.22,4310492.57,325.9,13226.43,69.0,69.0,55.0,0,0,1,0,0,0,0,0,1,0,0,0
0,24,85,64,97,81,70,0,0,0,0,0,0,0,0,421,14.7,9.7,16.9,45.6,28.3,8.6,13.3,5.2,70.8,0.0,0.2,1.9,49.4,50.6,212.0,18.8,395.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,62.0,76.0,80.0,0,1,0,0,0,0,0,0,1,0,0,0
122,0,0,0,0,0,0,0,0,0,425,380,429,390,9,1755,11.3,3.0,21.1,34.5,17.9,5.9,13.1,3.7,76.3,0.1,0.1,0.8,50.0,50.0,851.0,16.1,1723.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,68.0,79.0,65.0,0,0,1,0,0,0,0,0,1,0,0,0
0,20,40,62,53,56,51,0,0,0,0,0,0,0,0,282,31.2,15.2,12.4,51.1,32.3,7.1,17.7,7.8,64.5,1.4,0.0,1.4,55.0,45.0,165.0,19.0,301.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,87.0,83.0,86.0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,237,245,251,0,0,0,0,0,733,10.5,2.0,20.2,36.3,19.9,6.8,13.5,3.8,73.5,0.4,0.0,1.9,51.4,48.6,393.0,17.7,765.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,90.0,92.0,80.0,0,1,0,0,0,0,0,0,1,0,0,0
0,22,89,77,80,80,77,0,0,0,0,0,0,0,0,425,8.9,3.8,17.2,29.6,11.1,2.6,13.6,2.6,80.5,0.5,0.0,0.2,49.2,50.8,218.0,20.3,427.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,75.0,76.0,95.0,0,1,0,0,0,0,0,0,1,0,0,0
0,30,86,76,74,86,83,0,0,0,0,0,0,0,0,435,17.0,6.2,28.0,42.3,14.5,2.8,17.2,4.8,73.3,0.5,0.0,1.4,53.1,46.9,317.0,13.9,428.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,87.0,90.0,80.0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,85,90,88,110,75,0,0,0,0,0,0,0,0,448,15.4,7.4,14.1,33.3,11.2,1.6,24.3,5.1,67.4,0.0,0.2,1.3,47.8,52.2,234.0,20.1,443.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,95.0,100.0,81.0,0,1,0,0,0,0,0,0,1,0,0,0
0,25,63,57,80,75,71,0,0,0,0,0,0,0,0,371,17.5,7.5,18.9,38.3,17.0,2.2,22.4,5.1,68.2,0.3,0.0,1.9,49.6,50.4,170.0,20.9,362.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,94.0,100.0,99.0,0,1,0,0,0,0,0,0,1,0,0,0
0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,262,20.2,9.2,11.5,35.5,20.2,5.0,16.8,4.6,70.6,0.4,0.0,2.7,51.1,48.9,128.0,17.9,286.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,230,222,225,0,0,0,0,0,677,10.6,2.1,20.7,33.7,15.7,2.2,16.1,3.8,76.7,0.1,0.0,1.0,48.7,51.3,329.0,18.6,675.0,30370434.0,73535.0,413.0,73316390.04,5660.6,12952.05,79838684.12,5769.7,13837.58,90.0,93.0,79.0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,83,73,77,0,0,0,0,0,0,0,0,233,5.2,2.1,18.0,35.6,24.0,2.6,1.3,4.7,88.4,0.0,0.0,3.0,50.6,49.4,140.0,18.4,228.0,3426525.0,82766.0,41.0,9822014.0,468.1,20982.73,10139836.0,492.9,20571.79,72.0,68.0,59.0,0,0,1,0,0,0,0,0,1,0,0,0
32,75,73,79,0,0,0,0,0,0,0,0,0,0,0,259,2.7,2.3,13.9,35.5,26.6,2.7,0.8,8.1,82.6,0.0,0.0,5.8,48.3,51.7,154.0,16.7,280.0,3426525.0,82766.0,41.0,9822014.0,468.1,20982.73,10139836.0,492.9,20571.79,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,1,0,0,0
30,35,29,44,37,32,44,34,0,0,0,0,0,0,0,285,0.0,0.0,13.0,25.6,17.5,3.5,1.8,0.4,94.4,0.0,0.0,0.0,49.1,50.9,95.0,17.7,300.0,1766854.0,63328.0,28.0,3986502.0,288.5,13818.03,4587834.0,299.3,15328.55,86.0,83.0,71.0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,164,168,155,0,0,0,0,0,487,32.9,18.9,17.0,58.7,45.4,42.7,1.6,9.2,41.7,0.2,0.4,4.1,50.7,49.3,247.0,19.2,512.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,26.0,74.0,69.0,0,0,1,0,0,0,0,0,0,1,0,0
0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,219,20.5,13.7,6.4,75.8,69.9,58.9,1.8,19.2,11.0,0.5,0.0,8.7,53.4,46.6,104.0,16.8,218.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,47,53,31,27,19,177,23.7,9.6,35.0,76.3,64.4,38.4,0.6,24.9,28.8,0.6,0.6,6.2,61.0,39.0,194.0,8.2,150.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,51.69046073977936,72.28346951602765,68.75151108126259,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1223,1048,978,993,22,4264,46.3,17.8,11.9,62.1,46.8,62.2,2.6,12.5,18.8,0.4,0.2,3.4,50.5,49.5,1510.0,20.4,4327.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,36.0,82.0,95.0,0,1,0,0,0,0,0,0,0,1,0,0
0,88,106,101,126,106,105,0,0,0,0,0,0,0,0,632,41.3,34.2,10.4,70.1,52.7,55.4,1.7,10.4,28.3,0.2,0.3,3.6,52.5,47.5,287.0,20.8,727.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,6.0,39.0,39.0,0,0,0,1,0,0,0,0,0,1,0,0
0,95,120,103,116,109,112,0,0,0,0,0,0,0,0,655,18.5,8.7,27.0,75.4,64.1,51.5,2.1,16.8,21.7,0.9,0.5,6.6,56.6,43.4,353.0,15.1,651.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,13.0,66.0,68.0,0,0,0,1,0,0,0,0,0,1,0,0
0,111,140,152,129,145,131,0,0,0,0,0,0,0,0,808,26.6,12.1,18.1,75.0,65.0,62.0,0.2,18.2,11.0,1.0,0.0,7.5,54.2,45.8,323.0,22.7,849.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,3.0,59.0,62.0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,163,175,202,0,0,0,0,0,540,57.0,38.5,20.9,82.2,60.7,69.8,0.7,11.3,13.5,0.0,0.6,4.1,55.2,44.8,317.0,18.1,556.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,27.0,86.0,86.0,0,1,0,0,0,0,0,0,0,1,0,0
0,117,141,111,120,121,125,108,100,99,0,0,0,0,0,1042,38.6,22.0,7.8,68.7,56.7,60.9,0.3,14.7,17.9,0.2,0.5,5.5,49.6,50.4,423.0,24.6,1061.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,39.0,63.0,67.0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,10,78,64,0,153,64.1,52.3,13.7,88.2,54.2,71.9,1.3,11.8,13.7,0.0,0.0,1.3,52.3,47.7,177.0,10.8,271.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,4,17,8,2,3,0,35,42.9,17.1,42.9,94.3,80.0,77.1,0.0,14.3,5.7,0.0,0.0,2.9,80.0,20.0,94.0,7.3,80.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,51.69046073977936,72.28346951602765,68.75151108126259,0,0,1,0,0,0,0,0,0,1,0,0
263,25,0,0,0,0,0,0,0,0,0,0,0,0,0,288,13.5,1.4,56.9,71.5,48.3,57.3,1.7,9.4,27.1,0.3,0.0,4.2,63.5,36.5,70.0,14.7,451.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,2,3,5,8,6,11,7,6,0,48,14.6,10.4,100.0,100.0,79.2,41.7,0.0,14.6,41.7,0.0,0.0,2.1,66.7,33.3,86.0,6.4,57.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,0,1,0,0
0,97,114,120,115,112,109,0,0,0,0,0,0,0,0,667,19.2,7.8,6.0,53.4,46.3,46.0,3.6,8.7,36.1,0.4,0.3,4.8,50.4,49.6,239.0,24.1,693.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,9.0,63.0,61.0,0,0,0,1,0,0,0,0,0,1,0,0
0,75,93,91,95,102,96,0,0,0,0,0,0,0,0,552,50.4,35.0,7.1,80.4,63.2,76.4,0.2,12.9,6.3,0.4,0.0,3.8,51.6,48.4,183.0,23.5,509.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,9.0,86.0,95.0,0,0,0,1,0,0,0,0,0,1,0,0
0,92,100,108,92,117,96,0,0,0,0,0,0,0,0,605,27.3,19.0,10.7,54.4,43.5,44.6,5.1,11.1,31.4,0.0,0.0,7.8,50.1,49.9,264.0,20.4,648.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,30.0,82.0,82.0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,248,234,211,0,0,0,0,0,693,36.1,12.7,13.6,56.9,45.5,39.2,2.6,26.7,25.0,0.4,0.1,5.9,48.2,51.8,492.0,22.5,705.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,31.0,59.0,61.0,0,0,1,0,0,0,0,0,0,1,0,0
0,94,140,138,126,197,188,0,0,0,0,0,0,0,0,883,36.2,21.1,18.8,71.6,54.9,53.2,6.3,13.1,22.1,0.8,0.1,4.3,51.8,48.2,375.0,19.4,884.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,21.0,53.0,47.0,0,0,1,0,0,0,0,0,0,1,0,0
0,113,153,144,161,156,164,0,0,0,0,0,0,0,0,891,46.1,33.7,17.6,73.1,55.2,36.4,0.4,46.5,11.9,0.8,0.0,4.0,50.5,49.5,379.0,20.0,906.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,6.0,59.0,56.0,0,0,0,1,0,0,0,0,0,1,0,0
0,115,135,138,136,112,121,0,0,0,0,0,0,0,0,757,26.3,17.7,13.6,61.0,48.5,50.2,1.7,12.9,31.0,0.1,0.0,4.0,51.8,48.2,316.0,19.6,747.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,3.0,66.0,68.0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,202,189,173,0,0,0,0,0,564,53.7,33.5,16.1,77.7,60.5,70.9,2.1,14.5,8.9,0.2,0.4,3.0,53.0,47.0,399.0,18.9,612.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,27.0,83.0,77.0,0,1,0,0,0,0,0,0,0,1,0,0
0,138,152,149,138,156,135,0,0,0,0,0,0,0,0,868,48.6,34.0,8.6,79.5,65.3,76.5,0.7,8.9,10.0,0.5,0.0,3.5,53.1,46.9,262.0,25.1,781.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,10.0,89.0,73.0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,171,166,176,0,0,0,0,0,513,32.9,13.6,17.2,63.5,51.1,51.3,3.1,16.0,22.8,0.0,0.4,6.4,52.8,47.2,306.0,22.0,567.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,11.0,43.0,38.0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,230,191,208,0,0,0,0,0,629,28.1,7.6,18.3,59.1,48.6,50.6,3.5,14.9,24.8,0.3,0.5,5.4,49.8,50.2,371.0,22.6,706.0,91426338.0,79723.0,1147.0,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,31.0,65.0,61.0,0,0,1,0,0,0,0,0,0,1,0,0
31,41,40,39,38,39,42,48,0,0,0,0,0,0,0,318,1.6,0.6,7.5,30.2,24.5,0.3,0.0,4.1,90.6,0.3,0.0,4.7,49.4,50.6,81.0,20.3,324.0,1572046.0,62631.0,25.0,3649658.0,332.2,10986.33,3848005.0,334.5,11503.75,71.0,72.0,81.0,0,0,1,0,0,0,0,0,1,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,21.7,13.3,13.3,26.7,6.7,3.3,15.0,8.3,58.3,0.0,0.0,15.0,50.0,50.0,5.0,15.0,75.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,1,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,28.1,15.6,31.3,45.3,9.4,4.7,29.7,7.8,42.2,0.0,0.0,15.6,60.9,39.1,6.0,13.5,81.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,1,0,0,0
13,0,0,0,0,0,0,0,0,0,500,509,492,479,16,2009,28.5,3.7,16.2,28.0,11.7,7.6,16.7,10.4,57.2,0.0,0.0,8.0,50.2,49.8,1073.0,14.3,1978.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,81.0,82.0,75.0,0,1,0,0,0,0,0,0,1,0,0,0
0,83,76,103,72,106,80,74,91,79,0,0,0,0,0,764,37.0,13.1,14.0,36.6,8.1,5.1,25.4,10.1,51.3,0.0,0.3,7.9,50.8,49.2,446.0,18.4,780.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,97.0,97.0,84.0,0,1,0,0,0,0,0,0,1,0,0,0
0,91,101,93,97,100,92,77,72,75,0,0,0,0,0,798,40.5,15.3,14.8,37.6,12.0,4.9,12.9,13.4,58.8,0.0,0.0,10.0,51.9,48.1,476.0,18.8,861.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,84.0,78.0,69.0,0,0,1,0,0,0,0,0,1,0,0,0
29,47,66,71,67,71,53,65,52,57,0,0,0,0,0,578,22.5,5.7,9.2,20.6,4.8,3.8,17.6,9.0,60.9,0.0,0.0,8.7,49.1,50.7,289.0,20.3,589.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,97.0,100.0,69.0,0,0,1,0,0,0,0,0,1,0,0,0
14,58,66,70,74,69,66,66,70,60,0,0,0,0,0,613,25.3,7.7,19.2,28.5,4.7,3.1,15.2,10.1,60.8,0.0,0.0,10.8,51.9,48.1,297.0,20.5,601.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,89.0,90.0,77.0,0,1,0,0,0,0,0,0,1,0,0,0
0,80,89,88,85,88,79,62,79,61,0,0,0,0,0,711,39.5,21.5,12.8,41.9,10.4,5.8,31.5,8.4,46.1,0.0,0.1,8.0,51.8,48.2,388.0,18.5,674.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,92.0,98.0,87.0,0,1,0,0,0,0,0,0,1,0,0,0
14,61,58,76,63,70,68,66,66,58,0,0,0,0,0,600,24.8,9.2,15.2,28.2,6.0,5.3,14.7,7.5,57.8,0.2,0.0,14.5,51.2,48.8,312.0,20.0,607.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,94.0,96.0,65.0,0,0,1,0,0,0,0,0,1,0,0,0
0,96,113,106,111,91,83,88,86,80,0,0,0,0,0,854,30.2,14.9,8.9,30.7,9.5,5.2,20.7,10.3,55.5,0.0,0.0,8.3,48.8,51.2,439.0,20.1,829.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,84.0,84.0,55.0,0,0,1,0,0,0,0,0,1,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,32.4,22.1,25.0,48.5,13.2,8.8,17.6,13.2,48.5,0.0,0.0,11.8,60.3,39.7,6.0,11.5,69.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,51.69046073977936,72.28346951602765,68.75151108126259,1,0,0,0,0,0,0,0,1,0,0,0
0,66,58,71,64,82,63,51,60,61,0,0,0,0,0,576,30.4,14.2,18.4,41.7,14.2,9.9,22.2,12.0,48.4,0.0,0.0,7.5,49.5,50.5,356.0,17.7,576.0,53174888.0,91507.0,581.0,128747803.16,7500.4,17165.46,133544402.51,7565.2,17652.46,91.0,87.0,75.0,0,1,0,0,0,0,0,0,1,0,0,0
118,8,0,0,0,0,0,0,0,0,241,249,232,255,0,1103,16.6,1.4,10.7,19.9,8.3,4.4,16.4,5.7,70.1,0.5,0.1,2.8,51.4,48.6,548.0,15.4,1162.0,27776064.0,90475.0,307.0,60921774.39,3451.5,17650.81,68300609.96,3550.3,19237.98,65.0,76.0,63.0,0,0,1,0,0,0,0,0,1,0,0,0
0,80,68,68,49,66,57,0,0,0,0,0,0,0,0,388,21.6,7.0,11.6,24.0,8.8,5.7,21.1,4.9,64.4,0.0,0.0,3.9,53.6,46.4,169.0,16.0,372.0,27776064.0,90475.0,307.0,60921774.39,3451.5,17650.81,68300609.96,3550.3,19237.98,47.0,75.0,75.0,0,1,0,0,0,0,0,0,1,0,0,0
0,110,78,96,81,77,87,0,0,0,0,0,0,0,0,529,19.8,7.4,11.3,27.6,12.7,9.8,19.8,7.2,60.1,0.2,0.0,2.8,49.1,50.9,231.0,16.2,505.0,27776064.0,90475.0,307.0,60921774.39,3451.5,17650.81,68300609.96,3550.3,19237.98,24.0,57.0,59.0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,271,273,277,0,0,0,0,0,821,12.4,1.3,11.2,21.2,9.9,5.6,11.3,4.6,73.9,0.4,0.0,4.1,53.0,46.9,722.0,21.2,852.0,27776064.0,90475.0,307.0,60921774.39,3451.5,17650.81,68300609.96,3550.3,19237.98,53.0,35.0,40.0,0,0,1,0,0,0,0,0,1,0,0,0
0,65,70,61,62,68,60,0,0,0,0,0,0,0,0,386,19.9,6.0,13.2,29.0,12.2,5.2,18.1,4.4,66.1,0.5,0.0,5.7,52.1,47.9,179.0,16.2,396.0,27776064.0,90475.0,307.0,60921774.39,3451.5,17650.81,68300609.96,3550.3,19237.98,34.0,82.0,84.0,0,1,0,0,0,0,0,0,1,0,0,0
0,47,66,39,44,58,40,0,0,0,0,0,0,0,0,294,17.7,11.6,11.9,28.6,11.2,3.1,16.0,6.5,70.7,0.0,0.0,3.7,45.6,54.4,143.0,14.1,283.0,27776064.0,90475.0,307.0,60921774.39,3451.5,17650.81,68300609.96,3550.3,19237.98,53.0,100.0,90.0,0,1,0,0,0,0,0,0,1,0,0,0
34,46,47,44,45,42,34,35,25,27,0,0,0,0,0,379,39.3,5.8,11.9,31.1,19.3,5.0,3.4,43.3,39.1,0.0,0.0,9.2,44.3,55.7,200.0,16.3,366.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,95.0,100.0,85.0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,491,511,490,462,2,1956,25.8,5.4,16.6,40.5,27.4,30.3,11.9,13.5,38.9,0.6,0.2,4.7,51.8,48.2,1034.0,15.5,1928.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,48.0,80.0,65.0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,87,91,83,0,0,0,0,0,261,24.1,3.4,28.0,50.6,33.3,30.3,9.6,17.6,35.2,1.1,0.4,5.7,49.8,50.2,173.0,16.9,258.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,47.0,65.0,67.0,0,1,0,0,0,0,0,0,1,0,0,0
53,52,44,44,42,41,35,0,0,0,0,0,0,0,0,311,16.7,5.1,15.4,39.9,27.7,19.9,8.0,10.0,54.0,0.0,0.0,8.0,55.0,45.0,131.0,16.3,316.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,60.0,89.0,100.0,0,1,0,0,0,0,0,0,1,0,0,0
50,41,40,34,37,38,20,0,0,0,0,0,0,0,0,260,23.5,11.2,27.3,64.2,43.5,49.6,8.8,15.4,20.4,0.4,0.0,5.4,51.5,48.5,230.0,10.9,262.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,33.0,78.0,72.0,0,1,0,0,0,0,0,0,1,0,0,0
35,55,54,63,60,75,50,0,0,0,0,0,0,0,0,392,50.5,36.5,18.1,60.5,23.0,18.9,20.9,5.9,49.2,0.0,0.0,5.1,51.0,49.0,161.0,15.8,375.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,52.0,72.0,61.0,0,0,1,0,0,0,0,0,1,0,0,0
25,51,41,39,37,32,28,0,0,0,0,0,0,0,0,253,30.4,7.5,18.2,42.7,24.9,22.5,13.4,6.3,46.2,0.0,0.0,11.5,49.8,50.2,138.0,15.1,259.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,58.0,60.0,66.0,0,0,1,0,0,0,0,0,1,0,0,0
93,39,39,40,29,30,21,0,0,0,0,0,0,0,0,291,30.2,2.7,16.2,39.9,26.5,25.1,15.1,11.0,38.5,0.7,0.0,9.6,50.9,49.1,239.0,8.1,279.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,77.0,100.0,100.0,0,1,0,0,0,0,0,0,1,0,0,0
45,42,45,51,28,32,23,0,0,0,0,0,0,0,0,266,39.1,25.6,14.3,62.4,35.7,18.4,19.9,17.7,37.2,0.0,0.0,6.8,52.3,47.7,145.0,14.4,276.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,31.0,88.0,88.0,0,1,0,0,0,0,0,0,1,0,0,0
30,56,51,50,48,46,44,0,0,0,0,0,0,0,0,325,23.1,5.8,26.5,46.8,27.4,18.2,8.9,16.6,45.8,0.3,0.0,10.2,52.6,47.4,209.0,12.1,321.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,40.0,81.0,78.0,0,0,1,0,0,0,0,0,1,0,0,0
62,64,50,56,43,44,37,0,0,0,0,0,0,0,0,356,20.8,4.5,21.3,36.8,23.3,17.4,9.6,12.9,48.6,0.3,0.0,11.2,48.9,51.1,176.0,16.3,351.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,64.0,64.0,80.0,0,1,0,0,0,0,0,0,1,0,0,0
47,51,51,50,44,43,31,0,0,0,0,0,0,0,0,317,31.9,6.6,15.1,38.5,25.6,26.2,22.4,6.6,27.4,0.0,0.0,17.4,50.5,49.5,171.0,15.7,310.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,56.0,76.0,88.0,0,1,0,0,0,0,0,0,1,0,0,0
48,51,43,42,38,43,41,0,0,0,0,0,0,0,0,306,20.9,6.9,28.1,52.6,37.6,23.2,13.1,10.8,41.5,0.7,0.3,10.5,52.9,47.1,185.0,13.1,309.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,56.0,63.0,75.0,0,0,1,0,0,0,0,0,1,0,0,0
48,49,45,44,44,41,45,0,0,0,0,0,0,0,0,316,21.2,4.1,22.2,41.5,24.4,24.4,12.3,6.6,49.1,0.0,0.0,7.6,47.8,52.2,140.0,19.5,318.0,50658612.0,78456.0,646.0,168307565.58,6428.0,26183.5,194321971.07,7048.6,27568.87,57.0,100.0,86.0,0,1,0,0,0,0,0,0,1,0,0,0
